Sample,TOTAL_READ_PAIRS,READ_PAIR_DUPLICATES,PERCENT_DUPLICATION
CAP41WGS_MO026,98945239,48880013,49.401
CAP41WGS_MO028,99175427,54912368,55.369
CAP41WGS_MO029,99548139,52935357,53.176
CAP41WGS_MO030,99004483,41314854,41.730
CAP41WGS_MO031,98971022,53137896,53.690
CAP41WGS_MO032,99048685,48968177,49.438
CAP41WGS_MO033,99731221,49384229,49.517
CAP41WGS_MO034,99403271,45219558,45.491
CAP41WGS_MO035,99692364,51246902,51.405
CAP41WGS_MO036,98818884,63635116,64.396
CAP41WGS_MO037,98515646,47206951,47.918
CAP41WGS_MO038,99013134,52166400,52.686
CAP41WGS_MO039,99291411,62010873,62.453
CAP41WGS_MO040,98856415,60329634,61.028
CAP41WGS_PC,83742658,29163622,34.825
