Sample,CATEGORY,TOTAL_READS,PF_READS,PCT_PF_READS,PF_NOISE_READS,PF_READS_ALIGNED,PCT_PF_READS_ALIGNED,PF_ALIGNED_BASES,PF_HQ_ALIGNED_READS,PF_HQ_ALIGNED_BASES,PF_HQ_ALIGNED_Q20_BASES,PF_HQ_MEDIAN_MISMATCHES,PF_MISMATCH_RATE,PF_HQ_ERROR_RATE,PF_INDEL_RATE,MEAN_READ_LENGTH,SD_READ_LENGTH,MEDIAN_READ_LENGTH,MAD_READ_LENGTH,MIN_READ_LENGTH,MAX_READ_LENGTH,MEAN_ALIGNED_READ_LENGTH,READS_ALIGNED_IN_PAIRS,PCT_READS_ALIGNED_IN_PAIRS,PF_READS_IMPROPER_PAIRS,PCT_PF_READS_IMPROPER_PAIRS,BAD_CYCLES,STRAND_BALANCE,PCT_CHIMERAS,PCT_ADAPTER,PCT_SOFTCLIP,PCT_HARDCLIP,AVG_POS_3PRIME_SOFTCLIP_LENGTH,SAMPLE,LIBRARY,READ_GROUP
CAP41WGS_MO026,FIRST_OF_PAIR,98945239,98038741,0.990838,0,98038245,0.999995,14283750661,94397308,13759509559,13664535069,31,0.223053,0.222981,0.000318,145.79416,10.258622,150,0,80,150,145.726325,98036358,0.999981,308119,0.003143,0,0.49839,0.002966,0,0.00046,0,24.443514,,,
CAP41WGS_MO026,SECOND_OF_PAIR,98945239,98038741,0.990838,0,98036483,0.999977,14250552837,94386045,13727082899,13588072024,32,0.224992,0.224901,0.000316,145.727484,10.273875,150,0,80,150,145.387228,98036358,0.999999,306357,0.003125,0,0.5016,0.004632,0,0.002313,0,43.961129,,,
CAP41WGS_MO026,PAIR,197890478,196077482,0.990838,0,196074728,0.999986,28534303498,188783353,27486592458,27252607093,31,0.224021,0.22394,0.000317,145.760822,10.266306,150,0,80,150,145.556777,196072716,0.99999,614476,0.003134,0,0.499995,0.003799,0,0.001387,0,36.474822,,,
CAP41WGS_MO028,FIRST_OF_PAIR,99175427,98171032,0.989873,0,98170351,0.999993,14406514605,94733343,13906764340,13809551728,31,0.221075,0.221014,0.000316,146.848921,8.683152,150,0,80,150,146.780732,98167978,0.999976,387519,0.003947,0,0.498324,0.003698,0,0.000457,0,24.433885,,,
CAP41WGS_MO028,SECOND_OF_PAIR,99175427,98171032,0.989873,0,98168163,0.999971,14369333550,94721507,13870386820,13721634590,31,0.223102,0.223017,0.000314,146.762025,8.729354,150,0,80,150,146.401503,98167978,0.999998,385331,0.003925,0,0.501664,0.005438,0,0.002429,0,44.444437,,,
CAP41WGS_MO028,PAIR,198350854,196342064,0.989873,0,196338514,0.999982,28775848155,189454850,27777151160,27531186318,31,0.222087,0.222014,0.000315,146.805473,8.706392,150,0,80,150,146.591117,196335956,0.999987,772850,0.003936,0,0.499994,0.004568,0,0.001443,0,37.138606,,,
CAP41WGS_MO029,FIRST_OF_PAIR,99548139,98934327,0.993834,0,98933779,0.999994,14522847669,95194653,13979088655,13879679392,31,0.218385,0.218425,0.000339,146.875989,8.660064,150,0,80,150,146.826479,98931950,0.999982,223243,0.002256,0,0.498207,0.002064,0,0.000332,0,24.242864,,,
CAP41WGS_MO029,PAIR,199096278,197868654,0.993834,0,197865856,0.999986,29020284113,190380192,27933277815,27692410130,31,0.219417,0.219446,0.000338,146.836658,8.680801,150,0,80,150,146.697653,197863900,0.99999,444784,0.002248,0,0.499999,0.002536,0,0.000933,0,34.84867,,,
CAP41WGS_MO029,SECOND_OF_PAIR,99548139,98934327,0.993834,0,98932077,0.999977,14497436444,95185539,13954189160,13812730738,31,0.220451,0.22047,0.000336,146.797327,8.701312,150,0,80,150,146.568828,98931950,0.999999,221541,0.002239,0,0.501791,0.003008,0,0.001535,0,40.488276,,,
CAP41WGS_MO030,PAIR,198008966,197274838,0.996292,0,197270510,0.999978,28904405582,189881779,27832565900,27595195269,31,0.222531,0.222484,0.000308,146.647868,9.176363,150,0,80,150,146.549134,197268198,0.999988,220646,0.001118,0,0.499995,0.001263,0,0.000652,0,32.578538,,,
