Sample,ACCUMULATION_LEVEL,READS_USED,GC,WINDOWS,READ_STARTS,MEAN_BASE_QUALITY,NORMALIZED_COVERAGE,ERROR_BAR_WIDTH,SAMPLE,LIBRARY,READ_GROUP
CAP41WGS_MO026,All Reads,ALL,0,137628,2312,7,0.248069,0.005159,,,
CAP41WGS_MO026,All Reads,UNIQUE,28,63970372,432357,9,0.197132,0.0003,,,
CAP41WGS_MO026,All Reads,UNIQUE,29,72520266,557607,8,0.224265,0.0003,,,
CAP41WGS_MO026,All Reads,UNIQUE,30,80672875,703070,8,0.254194,0.000303,,,
CAP41WGS_MO026,All Reads,UNIQUE,31,88276440,875093,8,0.289137,0.000309,,,
CAP41WGS_MO026,All Reads,UNIQUE,32,95175441,1064180,8,0.326125,0.000316,,,
CAP41WGS_MO026,All Reads,UNIQUE,33,101272012,1278708,8,0.368278,0.000326,,,
CAP41WGS_MO026,All Reads,UNIQUE,34,106580575,1504994,8,0.411861,0.000336,,,
CAP41WGS_MO026,All Reads,UNIQUE,35,110997872,1752223,8,0.460435,0.000348,,,
CAP41WGS_MO026,All Reads,UNIQUE,36,114484260,2005936,8,0.511052,0.000361,,,
CAP41WGS_MO026,All Reads,UNIQUE,37,116323554,2249031,8,0.563925,0.000376,,,
CAP41WGS_MO026,All Reads,UNIQUE,38,116105623,2477397,8,0.622352,0.000395,,,
CAP41WGS_MO026,All Reads,UNIQUE,39,114081347,2672852,7,0.683367,0.000418,,,
CAP41WGS_MO026,All Reads,UNIQUE,40,110526771,2829620,7,0.746714,0.000444,,,
CAP41WGS_MO026,All Reads,UNIQUE,41,105557564,2944814,7,0.813696,0.000474,,,
CAP41WGS_MO026,All Reads,UNIQUE,42,99687188,3048252,7,0.891877,0.000511,,,
CAP41WGS_MO026,All Reads,UNIQUE,43,93641152,3126322,7,0.973779,0.000551,,,
CAP41WGS_MO026,All Reads,UNIQUE,44,88231115,3195871,7,1.056479,0.000591,,,
CAP41WGS_MO026,All Reads,UNIQUE,45,83867340,3249153,7,1.12998,0.000627,,,
CAP41WGS_MO026,All Reads,UNIQUE,46,80500873,3300459,7,1.195824,0.000658,,,
CAP41WGS_MO026,All Reads,UNIQUE,47,77805265,3333082,7,1.249484,0.000684,,,
CAP41WGS_MO026,All Reads,UNIQUE,48,75098809,3359493,7,1.304771,0.000712,,,
CAP41WGS_MO026,All Reads,UNIQUE,27,55200587,327754,9,0.17318,0.000302,,,
CAP41WGS_MO026,All Reads,UNIQUE,26,46511797,244492,9,0.153319,0.00031,,,
CAP41WGS_MO026,All Reads,UNIQUE,25,38195011,178474,9,0.136289,0.000323,,,
CAP41WGS_MO026,All Reads,UNIQUE,24,30464428,127300,9,0.121879,0.000342,,,
CAP41WGS_MO026,All Reads,UNIQUE,2,116883,20,8,0.004991,0.001116,,,
CAP41WGS_MO026,All Reads,UNIQUE,3,148757,34,9,0.006666,0.001143,,,
CAP41WGS_MO026,All Reads,UNIQUE,4,164256,38,6,0.006748,0.001095,,,
CAP41WGS_MO026,All Reads,UNIQUE,5,169310,37,10,0.006374,0.001048,,,
CAP41WGS_MO026,All Reads,UNIQUE,6,190654,68,9,0.010403,0.001262,,,
CAP41WGS_MO026,All Reads,UNIQUE,7,204746,112,10,0.015955,0.001508,,,
CAP41WGS_MO026,All Reads,UNIQUE,8,232995,99,11,0.012393,0.001246,,,
CAP41WGS_MO026,All Reads,UNIQUE,9,259590,147,10,0.016517,0.001362,,,
CAP41WGS_MO026,All Reads,UNIQUE,10,302920,215,10,0.020702,0.001412,,,
CAP41WGS_MO026,All Reads,UNIQUE,11,368095,281,10,0.022266,0.001328,,,
CAP41WGS_MO026,All Reads,UNIQUE,50,67632983,3329768,6,1.435982,0.000787,,,
CAP41WGS_MO026,All Reads,UNIQUE,12,476417,457,10,0.027978,0.001309,,,
CAP41WGS_MO026,All Reads,UNIQUE,14,882957,1136,10,0.037526,0.001113,,,
CAP41WGS_MO026,All Reads,UNIQUE,15,1295451,2051,10,0.046178,0.00102,,,
CAP41WGS_MO026,All Reads,UNIQUE,16,1934534,3333,10,0.050252,0.00087,,,
CAP41WGS_MO026,All Reads,UNIQUE,17,2903580,5888,10,0.059146,0.000771,,,
CAP41WGS_MO026,All Reads,UNIQUE,18,4351124,9584,10,0.064245,0.000656,,,
CAP41WGS_MO026,All Reads,UNIQUE,19,6421186,15819,10,0.071855,0.000571,,,
CAP41WGS_MO026,All Reads,UNIQUE,20,9272096,25317,9,0.079639,0.000501,,,
CAP41WGS_MO026,All Reads,UNIQUE,21,13036310,39747,9,0.088929,0.000446,,,
CAP41WGS_MO026,All Reads,UNIQUE,22,17792869,59847,9,0.098105,0.000401,,,
CAP41WGS_MO026,All Reads,UNIQUE,23,23610800,88169,9,0.108918,0.000367,,,
CAP41WGS_MO026,All Reads,UNIQUE,13,625571,709,10,0.033057,0.001241,,,
CAP41WGS_MO026,All Reads,UNIQUE,1,100510,11,8,0.003192,0.000962,,,
CAP41WGS_MO026,All Reads,UNIQUE,51,62773212,3280904,6,1.524448,0.000842,,,
CAP41WGS_MO026,All Reads,UNIQUE,53,53057696,3122387,6,1.716453,0.000971,,,
CAP41WGS_MO026,All Reads,UNIQUE,80,607258,104679,5,5.027821,0.01554,,,
CAP41WGS_MO026,All Reads,UNIQUE,81,510873,81010,4,4.62508,0.01625,,,
CAP41WGS_MO026,All Reads,UNIQUE,82,429147,61745,4,4.196519,0.016888,,,
